feature,source,gain,group,gain_share
num__V182,V182,1.1660689115524292,V,0.0007216571696784256
cat__M4_M0,M4,1.1601289510726929,M,0.0007179810446867205
num__V255,V255,1.156085729598999,V,0.0007154787742495434
num__V284,V284,1.1477980613708496,V,0.000710349698997209
num__V92,V92,1.1465015411376953,V,0.0007095473080642037
num__V267,V267,1.1415379047393799,V,0.0007064754108898315
num__V96,V96,1.1344854831695557,V,0.0007021108055573022
num__V40,V40,1.1323375701904297,V,0.0007007815043591698
num__V4,V4,1.131470799446106,V,0.0007002450769525975
cat__card4_mastercard,card4,1.131394863128662,card,0.0007001980814556937
freq__freq_card1_addr1_pemail,card1_addr1_pemail,1.1284184455871582,frequency,0.0006983560350401665
